Groups	Gene	Entrez ID	Rank	Statistic score	P-value	FDR
discrete	string	string	string	continuous	continuous	continuous
class	meta	meta	meta	meta	meta	meta
B cell	A530040E14Rik	621875	1	13.414309157984656	0.0	0.0
B cell	AB124611	382062	1	18.683270653529686	0.0	0.0
B cell	Acss1	68738	1	11.258350330119525	0.0	0.0
B cell	Aim2	383619	1	8.523076943848594	0.0	0.0
B cell	Arhgap15	76117	1	13.666140377131963	0.0	0.0
B cell	Arhgap30	226652	1	12.030889568325266	0.0	0.0
B cell	Arhgap4	171207	1	22.244743459469504	0.0	0.0
B cell	Arhgdib	11857	1	13.994602082765246	0.0	0.0
B cell	Atp8b4	241633	1	10.623380479550685	0.0	0.0
B cell	Bank1	242248	1	28.27673088547283	0.0	0.0
B cell	Bfsp2	107993	1	43.24096160461248	0.0	0.0
B cell	Blk	12143	1	16.33861533628792	0.0	0.0
B cell	Btk	12229	1	17.664482590118887	0.0	0.0
B cell	C920009B18Rik	606736	1	8.97120183696873	0.0	0.0
B cell	Camk1d	227541	1	9.728208856246596	0.0	0.0
B cell	Card11	108723	1	17.559667010675888	0.0	0.0
B cell	Ccdc69	52570	1	19.21291197108603	0.0	0.0
B cell	Ccr6	12458	1	10.697268795540039	0.0	0.0
B cell	Cd180	17079	1	10.269522250859252	0.0	0.0
B cell	Cd19	12478	1	29.967955291209062	0.0	0.0
